title,release_date,genre,runtime,language
To All the Boys: P.S. I Still Love You,2020-02-12,Teen romantic comedy,102,English
Isi & Ossi,2020-02-14,Romantic comedy,113,German
The Last Thing He Wanted,2020-02-21,Political thriller,115,English
Yeh Ballet,2020-02-21,Drama,117,Hindi
All the Bright Places,2020-02-28,Teen romance,108,English
Guilty,2020-03-06,Thriller drama,119,Hindi
Spenser Confidential,2020-03-06,Action comedy,111,English
Lost Girls,2020-03-13,Crime drama,95,English
Ultras,2020-03-20,Sports,109,Italian
The Occupant,2020-03-25,Thriller,103,Spanish
Maska,2020-03-27,Romantic comedy,111,Hindi
The Decline,2020-03-27,Action thriller,83,French
Uncorked,2020-03-27,Drama,104,English
Coffee & Kareem,2020-04-03,Action comedy,88,English
The Main Event,2020-04-10,Sports comedy,103,English
Love Wedding Repeat,2020-04-10,Romantic comedy,100,English
Tigertail,2020-04-10,Drama,91,English
Earth and Blood,2020-04-17,Action,80,French
Rising High,2020-04-17,Satire drama,94,German
Sergio,2020-04-17,Biopic,118,English
The Willoughbys,2020-04-22,Animated comedy,92,English
Time to Hunt,2020-04-23,Action thriller,135,Korean
Extraction,2020-04-24,Action,117,English
Dangerous Lies,2020-04-30,Thriller,97,English
Rich in Love,2020-04-30,Romantic comedy,105,Portuguese
All Day and a Night,2020-05-01,Drama,121,English
Mrs. Serial Killer,2020-05-01,Crime,107,Hindi
The Half of It,2020-05-01,Teen romance,105,English
The Wrong Missy,2020-05-13,Black comedy,90,English
The Lovebirds,2020-05-22,Romantic comedy,87,English
I'm No Longer Here,2020-05-27,Drama,112,Spanish
Intuition,2020-05-28,Crime thriller,116,Spanish
Choked: Paisa Bolta Hai,2020-06-05,Drama,114,Hindi
The Last Days of American Crime,2020-06-05,Heist thriller,149,English
Da 5 Bloods,2020-06-12,War drama,155,English
A Whisker Away,2020-06-18,Anime fantasy,105,Japanese
Feel the Beat,2020-06-19,Family / Comedy drama,109,English
Lost Bullet,2020-06-19,Action,93,French
One-Way to Tomorrow,2020-06-19,Romantic drama,90,Turkish
Bulbbul,2020-06-24,Horror,94,Hindi
Nobody Knows I'm Here,2020-06-24,Drama,91,Spanish
Eurovision Song Contest: The Story of Fire Saga,2020-06-26,Musical comedy,123,English
Under the Riccione Sun,2020-07-01,Romantic teenage drama,102,Italian
Desperados,2020-07-03,Romantic comedy,106,English
The Old Guard,2020-07-10,Superhero,125,English
The Players,2020-07-15,Comedy,88,Italian
Fatal Affair,2020-07-16,Psychological thriller,89,English
Offering to the Storm,2020-07-24,Crime thriller,139,Spanish
The Kissing Booth 2,2020-07-24,Teen romantic comedy,132,English
Seriously Single,2020-07-31,Comedy,107,English
Raat Akeli Hai,2020-07-31,Thriller,149,Hindi
Work It,2020-08-07,Dance comedy,93,English
Gunjan Saxena: The Kargil Girl,2020-08-12,Biographical drama,112,Hindi
Project Power,2020-08-14,Superhero,113,English
Fearless,2020-08-14,Animation / Superhero,91,English
Crazy Awesome Teachers,2020-08-17,Comedy drama,101,Indonesian
The Crimes That Bind,2020-08-20,Crime drama,99,Spanish
The Sleepover,2020-08-21,Action comedy,103,English
Class of '83,2020-08-21,Crime / Drama,98,Hindi
Dark Forces,2020-08-21,Thriller,81,Spanish
All Together Now,2020-08-28,Drama,93,English
Unknown Origins,2020-08-28,Thriller,96,Spanish
Freaks – You're One of Us,2020-09-02,Supernatural drama,92,German
"Love, Guaranteed",2020-09-03,Romantic comedy,91,English
I'm Thinking of Ending Things,2020-09-04,Psychological thriller,134,English
The Babysitter: Killer Queen,2020-09-10,Comedy / Horror,102,English
Dad Wanted,2020-09-11,Family,103,Spanish
The Devil All The Time,2020-09-16,Psychological thriller,138,English
The Paramedic,2020-09-16,Thriller,94,Spanish
Dolly Kitty Aur Woh Chamakte Sitare,2020-09-18,Drama,120,Hindi
Whipped,2020-09-18,Romantic comedy,97,Indonesian
The Boys in the Band,2020-09-30,Drama,122,English
All Because of You,2020-10-01,Action comedy,101,Malay
Òlòtūré,2020-10-02,Crime drama,106,English
Serious Men,2020-10-02,Comedy drama,114,Hindi
The Binding,2020-10-02,Horror,93,Italian
Vampires vs. the Bronx,2020-10-02,Horror comedy,85,English
You've Got This,2020-10-02,Romantic comedy,111,Spanish
Hubie Halloween,2020-10-07,Comedy,103,English
Ginny Weds Sunny,2020-10-09,Romantic comedy,125,Hindi
The Forty-Year-Old Version,2020-10-09,Comedy drama,124,English
A Babysitter's Guide to Monster Hunting,2020-10-15,Comedy / Fantasy / Family,98,English
Love Like the Falling Rain,2020-10-15,Teen romantic drama,86,Indonesian
The Trial of the Chicago 7,2020-10-16,Historical legal drama,130,English
Rebecca,2020-10-21,Romantic thriller,123,English
Cadaver,2020-10-22,Horror,86,Norwegian
Over the Moon,2020-10-23,Animated musical fantasy,100,English
Holidate,2020-10-28,Christmas romantic comedy,104,English
Nobody Sleeps in the Woods Tonight,2020-10-28,Horror,103,Polish
His House,2020-10-30,Thriller,93,English
Kaali Khuhi,2020-10-30,Horror,90,Hindi
Rogue City,2020-10-30,Crime,116,French
The Day of the Lord,2020-10-30,Horror,93,Spanish
Operation Christmas Drop,2020-11-05,Christmas romantic comedy,96,English
Citation,2020-11-06,Drama,151,English
What We Wanted,2020-11-11,Drama,93,German
Ludo,2020-11-12,Anthology / Dark comedy,150,Hindi
Jingle Jangle: A Christmas Journey,2020-11-13,Family / Christmas musical,119,English
The Life Ahead,2020-11-13,Drama,95,Italian
The Princess Switch: Switched Again,2020-11-19,Christmas romantic comedy,97,English
Christmas on the Square,2020-11-22,Christmas musical,98,English
